StomachContent	SampleID	Species	Shifting	GutSection	Site	Location	Content
Other	X5D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X6D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	78.05
Other	X7D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA
Other	X8D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X9D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X1G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X2G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X3G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA
Other	X5G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X6G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	1.09
Other	X7G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X8G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X4G_HG	A.grammoptilus	Non_shifting	HG	South_Algae_Flats	Outer_reef	0
Other	X10NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	1.2
Other	X1NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X2NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X3NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X4NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X5NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA
Other	X6NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X7NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X8NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X9NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X1NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	0.75
Other	X2NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	0
Other	X3NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	0.28
Other	X4NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	0
Other	X5NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	0
Other	X10NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X11NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X6NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	10.91
Other	X7NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X8NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X9NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X7O_GW	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	0
Other	X8O_GW	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	0
Other	X9O_GW	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	0
Other	X10O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	7.23
Other	X11O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X1O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X2O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	0.79
Other	X3O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X4O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	12.21
Other	X5O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X10T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	7.64
Other	X11T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	11.43
Other	X1T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0.62
Other	X2T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	2.17
Other	X3T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0
Other	X4T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	12.12
Other	X6T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0
Other	X7T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	20
Other	X8T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	16.47
Other	X9T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	29.13
Other	X5T_HG	A.triostegus	Range_shifting	HG	Lagoon_entrance_east	Lagoon	10.43
